Sl.No.,Company Name,Sector,Core Role / Others,Course,School,Profile / Designation,Job Location,UG/PG,Posting Date,Posting Month,Internship Cum PPO Offer,SS_JD,Year
541,Digantara,Manufacturing,English / Journalisum,MA / MAJ,School of Humanities,Communications Manager ,Bengaluru,PG,11-Nov-23,November,Fulltime,"Proven track record in communications, public relations, or related roles, preferably within the space or technology industry.
Exceptional written and verbal communication skills.
Strong project management and organizational abilities.
Proficiency in social media management and analytics tools.
Crisis management experience is a valuable asset.
A creative and strategic thinker with the ability to identify and capitalize on emerging trends.
A collaborative team player with excellent interpersonal skills. Craft comprehensive communication plans aligned with Digantara's goals, encompassing media relations, public relations, social media, and internal communications.
Forge and nurture relationships with key media outlets, journalists, and influencers in the space industry, serving as the primary liaison for media inquiries and interviews.
Generate top-tier content, including press releases, blog posts, articles, and engaging social media updates to highlight Digantara's achievements, innovations, and industry thought leadership.
Ensure a uniform message and brand identity across all communication channels while upholding brand integrity and positioning.
Develop and execute a robust social media strategy, actively engaging with the online community and fostering growth on platforms such as Twitter, LinkedIn, and Instagram.
Keep the internal team well-informed and engaged through internal communication channels, ensuring alignment with the company's goals, values, and mission.
Plan and execute company events, conferences, and press conferences as needed to promote Digantara's initiatives and innovations.
Track and assess the effectiveness of communication efforts using key performance indicators (KPIs) and analytics tools, providing comprehensive reports to the leadership team.",2024
542,Education Today,Ed- tech,Any Specialization,BA / MA,School of Humanities,Journalist/Anchor,Bengaluru,UG / PG,4-Sep-23,September,Internship cum PPO,"Graduation in Mass communication / equivalent with minimum internship experience
Exceptional communication, writing and editing skills with a strong emphasis on grammar
Key Skills: Journalism, Content writing,reporting,Editorial, writing Articles. Passionate about writing articles, content, editing, proofreading and conducting interviews pertaining to Education.
Gathering and reading the news.
Good at creating headlines.
Must be a well versed Content Writer.
Must be good in Anchoring and so should be a good presenter as well .
Must understand the current scenario and ethics.",2024
543,eMbrace lives,Research and Consulting,Journalism & Mass Communication,MA,School of Humanities,Content Writer,Remote,PG,17-Jan-24,January,Fulltime,"- Conduct research to understand user needs. behaviors, and preferences, and tailor content accordingly to enhance the user experience.
Ensure consistency in tone, style, and messaging across all app content to maintain a cohesive user journey.
Write the scripts for different resources to be published on the app",2024
544,Esaf Bank (Grampro Business Services),BFSI/NBFC,Economics & English,MA,School of Humanities,Executive Trainee,PAN INDIA,PG,30-Oct-23,October,Fulltime,"Willingness to work in field/ rural areas anywhere across
the country
-
- Excellent written and Oral Communication Skills
- Good Analytical Skills
- Integrity
- Good Sales & Business Acumen
- Service Orientation
- Target Orientation Business growth at branches including Liabilities & Assets,
Team Management, New Clients Acquisition, Performance
and Statutory, Business Compliance, Branch Operations",2024
545,ETV Bal Bharath (Kids Television Channel),Media / Entertainment,Journalism & Mass Communication,BAJ / MAJ,School of Humanities,Program Executive,Hyderabad,UG / PG,9-Feb-24,February,Fulltime,"Graduate in Mass Communication with respective reading and writing proficiency in regional language
Translation skill from English to respective regional language
MS Office skill sets Monitor minimum eight to ten programme titles in respective language on Dubbing language and voice modulation
Constant coordination with Dubbing House on feedback and deliveries.
The Executive would be solely responsible for coordination with Video Editor and thereby ensuring the compliance of content and technical check of the dubmaster with original episode.
The Executive would be doing Content writing for Promo & Campaign voice overs
Based on competencies during tenure, the Executive would be groomed up for assignments in Digital,",2024
546,Federal Bank,BFSI/NBFC,Any Specialization,MA,School of Humanities,Officer in Junior Management Grade I,PAN INDIA,PG,15-Sep-23,September,Fulltime,"We are looking for candidates with excellent communication
and interpersonal skills to be hand-picked from your
Institution. We propose to conduct the campus recruitment
process for students of your college who are pursuing the
Final year / Semester of Post-Graduation in during the
current academic year (2023-24) for the post of Officer in
Junior Management Grade I for Branch Banking role. Federal Bank, one of the premier private sector Banks in the
country and recognized by Great Place to Work® Institute as
one among 'India’s 50 Best Companies to work for' is on the
lookout for young, talented and dynamic individuals to team
up as Officer in Junior Management Grade I for
Branch Banking role to lead & direct its ambitious growth
plans.",2024
547,Federal Bank,BFSI/NBFC,Any Specialization,BA,School of Humanities,Associate in Non-Officer (Clerical),Pan India,UG,14-Mar-24,March,Fulltime,- -,2024
548,Finmate Education Private Limited,Ed- tech,Any Specialization,BA / MA,School of Humanities,1.Business Development Associate (BDA) & 2. Digital Marketing Associate,Bengaluru,UG / PG,3-Nov-23,November,Fulltime,"- Generate leads through direct sales .
Give presentation to live audience with presentation
Set up and conduct sales meet .
Present products and services to customers
Answer customer questions and resolve objections
Close deals and negotiate contracts
Build relationships with customers and maintain their satisfaction
Track and report on sales performance Minimum requirement:
Proven sales experience: The ideal candidate will have a track record of success in sales, whether in a previous role or through internships or volunteer work.
Strong communication skills: Sales representatives need to be able to communicate effectively with customers, both verbally and in writing. They should be able to build rapport, explain complex products or services, and close deals.
Problem-solving skills: Sales representatives often need to be able to solve problems for customers. They should be able to identify and understand the customer's needs, and then develop solutions that meet those needs.
Negotiation skills: Sales representatives need to be able to negotiate effectively with customers. They should be able to understand the customer's position and then present a compelling argument for their own solution.
Motivation and drive: Sales representatives need to be motivated and driven to succeed. They should be able to set and achieve goals, and they should be willing to work hard to close deals.
Teamwork skills: Sales representatives often work as part of a team. They should be able to collaborate effectively with others and share information.",2024
549,Gain.pro,IT / ITES,Economics,MA,School of Humanities,Private Equity Intelligence Analyst,Bengaluru,PG,14-Sep-23,September,Fulltime,"-   We are currently looking for graduates to join our organization as Private Equity Intelligence Analyst.
As a Private Equity Intelligence Analyst, you will develop insightful in-depth content on companies, industries and investors across the globe. Bringing together elements of business research, financial analysis, company strategy and industry expertise, the role gives you an opportunity to develop as an all-round research professional in the PE and M&A world. Gain.pro enables our team members to grow in the research function and take up the project and people management responsibilities in the future.

 ",2024
550,Gnothi Seauton,Media / Entertainment,Journalism & Mass Communication,MAJ,School of Humanities,Management Trainee,Bengaluru / Delhi / Mumbai,PG,5-Mar-24,March,Fulltime,"Excellent written and verbal communication skills; strong copywriting and content
creation skills
Positive, motivated, manage time efficiently
Able to work well under pressure
Professional and confident public speaker
Takes initiative to develop new strategies and outside-the-box ideas for social media
Previous experience in communication or related field would be preferred
Confident presentation skills and attention to detail
Work Location:
Delhi/Mumbai/Bangalore (Currently Remote)
Our Work Culture:
At Gnothi Seauton, there is no such thing as an ideal candidate. We believe in the power
of teamwork -- and in the desire to learn something new every day. We believe in hiring
people, not just skills.
Diversity and inclusion are in our DNA. Each day, we strive to maintain a culture of inclusion,
respect, and trust. We respect all opinions and embrace the fact that were not all the same.
Lets create something extraordinary together.
We know our employees have families, friends, hobbies and lives outside the office. We
work hard to provide a comprehensive employee wellbeing and benefits that supports
them wherever they are.
If this sounds like a company you would like to join and a role you would thrive in, please
dont hold back from applying! Whatever skills you bring to the table or background youre
coming from, we welcome you to start a conversation with us. We need your unique
perspective for our continued innovation and success. Were looking forward to learning
more about you! We are looking for an enthusiastic communicator to manage the relationships between a
company and external parties. Are you a passionate storyteller? Do you love technology?
Would you like the opportunity to combine these skills? If yes, we are looking for you.
Responsibilities:
Planning and implementing communication strategies, campaigns, and social media
calendars
Developing public relations strategies for current and existing products, launches,
and promotions
Creating or supplying calendar to the content team for on-trend, relevant, and
compelling social media status updates and blogs with links to products or
promotions
Developing and producing high-quality, informative, and interesting press releases,
press kits, and related materials
Maintaining good relationships with the media and other stakeholders
Organizing promotional events, press conferences, tours, visits, and exhibitions
Analyzing media coverage and developing responses when needed
Developing relationships with industry leaders or trendsetters through social media
Creating presentations, articles, reports, and information for websites, blogs, and
social media accounts
Developing weekly, monthly, quarterly and annual media activity reports
Creating budgets, planning events, handling visitors or guests, arranging
conferences and all requirements included (security, venue, etc.)
Keeping annual calendars of events, targets, and activities organized and updated
Developing or commissioning market research as needed",2024
551,Happequity Investments & Finance,Financial services,Any Specialization,BA / MA,School of Humanities,Associate Management Trainee,Bengaluru,UG / PG,9-Nov-23,November,Internship,- -,2024
552,Indian Institute of Science (IISc),Research and Consulting,Economics,MA,School of Humanities,Project Associate,Bengaluru,PG,12-Feb-24,February,Fulltime,- Research in Data Economics: Candidate should be skilled in statistical analysis and have some exposure in the field of policy and economics. Good writing and communication skills are a must,2024
553,Intellipaat,Ed- tech,Economics / English,MA,School of Humanities,Business Development Associate,Bengaluru,PG,1-Sep-23,September,Fulltime,"Excellent spoken and verbal skills
- Ability to persuade and negotiate
- Ability to work under stress
- Ability to work in a team
- Fast-learner, keen on details, and self-motivated Consulting professionals working in the IT sector for the
right career path over calls
-
Keeping self updated with the latest technologies in the
world
-
Consistently achieving targets in line with
team/organizational objectives.
-
Building relationships with people and Identifying
references through the existing learner base
-
Keep abreast with Intellipaat’s latest offerings and best
practices
-
Understand the concerns, requirements, needs and
effectively provide solutions to IT professionals to help in
their career advancement.",2024
554,International Society for Krishna Consciousness (ISKON),Hospitality, English / Psychology,BA / BAJ / MA / MAJ,School of Humanities,Junior Content Writer,Bengaluru,UG / PG,2-Jan-24,January,Fulltime,"Education: English, Journalism, Communications, Marketing, or a related field or a course certificate in related field.
Writing Skills: Strong writing skills with the ability to craft clear, concise, and engaging content.
Portfolio: A writing portfolio (academic or professional) showcasing your writing abilities and creativity is a plus.
Adaptability: Willingness to learn and adapt writing styles to suit different content formats.
Attention to Detail: Meticulous attention to detail, ensuring accuracy and quality in all written materials.
Time Management: Ability to manage multiple tasks and meet deadlines in the organization to meet its needs.
Team Player: Strong collaborative skills and the ability to work effectively in a team setting.
  Content Creation: Produce well-written, original content across various formats, including newsletters, blog posts, articles, social media posts, email campaigns, website copy, and more.
Research and collation of data: Conduct thorough research on various topics and collate data from various centers of our organization to ensure the accuracy and credibility of the content.
Editing and Proofreading: Review and edit your own work for clarity, grammar, and coherence, ensuring a good final product.
Content Distribution: Assist in distributing content through various channels to maximize its reach and impact.
Creative Input: Contribute fresh ideas and creative concepts to enhance the quality and variety of our content.
Stay up to date: Stay updated with industry trends and emerging topics to generate relevant and engaging content ideas.",2024
555,K2 Communications,Media / Entertainment,English  / Journalism,MA / MAJ,School of Humanities,PR & Creative writing,Bengaluru,PG,18-Aug-23,August,Internship,"- Establishing and maintaining relationships with consumer, community, employee, and public interest groups.
Writing press releases and other media communications to promote clients.
Planning or directing the development of programs to maintain favorable public and stockholder views of the organization's agenda and accomplishments.
Develop original content for fiction, nonfiction, and short stories.
Use the written word to express story lines and ideas.
Write books or content for magazines, trade journals, newsletters, and blogs.
Produce content for radio and television broadcasts, motion pictures, and other types of performance.
Develop scripted material for the Web and other communication devices.
Conduct extensive research on various topics.
Write outlines and rough drafts.
Appropriately source and cite resources.
Edit content for correct spelling and grammar.
Work with editors to revise and rewrite sections.
Perform extensive fact-checking.
Arrange material in chapters or parts.
Use desktop or electronic publishing software.
Maintain blogs to keep in touch with fans and readers.
Send out inquiries and submissions are sent to a variety of paying outlets.
Work with literary agents to get book published.
Go on book tours across the U.S. to promote the book or article.
 ",2024
556,Kestone Global,Media / Entertainment,English,BA / BAJ / MA / MAJ,School of Humanities,Content Writer,Bengaluru,UG / PG,28-Feb-24,February,Fulltime,"• Excellent written and verbal communication skills 
• Ability to think conceptually and turn that into impressive content  
• Ability to work under pressure and challenging timelines 
• Excellent know how of PowerPoint and Excel  
• Must have an out of the box approach  
• Should be Currently pursuing or completed Masters in journalism / Mass Communication/English Literature/ Marketing communication  
• Must be savvy with varied communication tools 
• Experience in an agency is an advantage 


 • Writing Content for the marketing of the company. 
• Managing the creative delivery and the final output of all marketing content. 
• Liaising with internal stakeholders to curate, and assimilate content for marketing campaigns. 
• Handling Digital marketing tools to monitor the progress of campaigns. 
• Leading creative direction on multiple projects from a concept and copy perspective. 
• Managing the client for creative delivery in India and Singapore. 
• Working with other teams to ensure seamless delivery of projects 
",2024
557,Meraki Creative Inc,Media / Entertainment,Journalism / Mass Communication,MA,School of Humanities,  Creative Associate,PAN INDIA,PG,5-Jul-23,July,Internship cum PPO,"Creative writing, Photoshop, basic video editing, design aesthetics and an overall interest in visual art forms. Creative development of scripts and pitching the same to clients: The candidate will ideate creative solutions to client briefs and create visually appealing presentations.

2) Assisting on shoots: The candidate will assist the director in areas such as scripting, scheduling, casting, production and editing

3) Updating content on social media channels and blogs: The candidate will be expected to select relevant content and post pictures, articles, films etc.",2024
558,Merp Media,Media / Entertainment,Humanities,BA / MA,School of Humanities,Social Media Management Intern,Bengaluru,UG / PG,5-Feb-24,February,Internship,"Keyword Research
Competitive Analysis
Content Creation
On page Optimisation

Link Building
Technical SEO
Analytics
Communication

Time-management
Problem Solving
Adaptability
Curiosity SEO Internship
SOCIAL MEDIA MANAGEMENT INTERN

Hands-on experience in content marketing for a growing agency.
Opportunity to work on diverse and challenging projects.
Mentorship from experienced content creators and marketing professionals.
Competitive stipend for paid months (4 months).
Potential for full-time conversion upon successful internship completion.
Vibrant start-up culture with a focus on learning, growth, and fun.
Badge of Approval from Merp for outstanding performance.
Requirements
Excellent written and verbal communication skills.
Strong research and analytical abilities.
Creativity and a passion for storytelling.
Ability to write in a clear, concise, and engaging style.
Proficiency in grammar, punctuation, and spelling.
Familiarity with SEO best practices is a plus.
Ability to work independently and meet deadlines.
Collaborative and team-oriented spirit.
Eagerness to learn and grow in a fast-paced environment.",2024
559,MSL INDIA – a part of PUBLICIS GROUPE,Professsional Services,Any Specialization,BA / BAJ / MA / MAJ,School of Humanities,1.Management Associate Public Relations 2.Management Associate - Digital Marketing,Bengaluru / Chennai / Delhi / Mumbai,UG / PG,8-Feb-24,February,Fulltime,"- Liaise on a daily basis with the media, often via telephone and email
Monitor the media, including newspapers, magazines, journals, broadcasts, newswires, social media sites and blogs, for opportunities for clients
Work as part of a team to develop client proposals and implement the PR activities
Prepare regular client reports and dossiers
Research, write and distribute press releases, articles, etc.
Collate, analyse and evaluate media coverage
Manage events, including press conferences and promotional events
Must have very good oral and written communication and a creative bend towards PR",2024
560,MyCaptain,Ed- tech,Any Specialization,BA / BAJ / MA /MAJ,School of Humanities,"Curriculum Design Intern, Teaching Excellence Intern",Bengaluru,UG / PG,6-Feb-24,February,Internship,"● Strong writing skills with an ability to convey educational concepts clearly. ●
Ability to work independently and collaboratively in a dynamic team environment.
● Proficient in MS Office Suite (Word, Excel, PowerPoint) and Google Workspace
(Google docs, slides, sheets).
● Familiarity with virtual communication platforms such as Zoom/ MS Teams/
Google Meet.
● Passion for education and a deep understanding of learner-centred
approaches.
● Ability to incorporate the manager’s feedback into the documents in order to
improve its quality. ● Develop and refine course materials, including live session plans, study
guides, assignments, and assessment tools.
● Collaborate with mentors and educators to ensure content relevancy,
accuracy, and pedagogical soundness.
● Translate complex topics into clear, concise, and learner-friendly content.
● Review and revise existing content based on feedback from mentors,
students, and the education team.
● Stay updated with educational trends, research, and best practices to ensure
content is current and effective.
● Contribute to the development of multimedia educational content, including
presentations, videos, and interactive modules.
● Edit and incorporate feedback given during the review process. ● Engage in
continuous learning opportunities to stay informed about the latest trends in
online education.
● Assist in any additional tasks as the need arises, contributing to the overall
success of the training programs.
",2024
561,Netambit,IT / ITES,Any Specialization,BA / MA,School of Humanities,Associate Campaign Manager- Ad Ops,Bengaluru,UG / PG,18-Oct-23,October,Fulltime,"Excellent communication and people skills
- Strong analytical and detail-oriented aptitude
- Ability to multitask and prioritize Actively manage and keenly monitor the campaign
performance of PhonePe assets and map them to the
sales funnel to maximize revenue.
-

Responsible for handling Low to medium risk/ severity
clients for E2E campaign management
-
Identify, establish, and implement industry best practices
on ad set up, measurement and reporting.
-
Strong communication skills with internal and external
stakeholders
-
Actively engage and collaborate with BD/Product
Design/CS/Creative teams for planning, campaign
management, prioritization, scheduling, and delivery of
campaigns
-

Responsible for handling day to day business operations
with external and internal stakeholders
-
Develop and maintain deep knowledge of all PhonePe
offer products and features
-
Manage both ads and rewards campaign lifecycle
including, but not limited to advertiser onboarding,
campaign set-up, invoicing, collections, reporting,
monitoring & optimization.
-

Analyse campaign performance and conversion and
make educated recommendations to BD
team/Advertisers for how future ads might be optimized
for best results.
-

Use data from existing campaigns to influence strategies
for upcoming ones by considering performance metrics
and audience targeting, in turn leading to the
achievement of sales objectives",2024
562,Opentext,IT / ITES,Any Specialization,BA / MA,School of Humanities,Intern - Technical Writer,Bengaluru / Hyderabad,UG / PG,4-Sep-23,September,Internship cum PPO,"University degree or college diploma (BA or MA),
preferably in English, Computer Science, Technical
Writing, or Instructional Design.
-

- Exceptional English and communication skills.
Awareness of help authoring tools, such as Arbortext
Epic Editor and MadCap Flare would be helpful.
Knowledge of XML and HTML would be helpful.
-

Willingness to learn and grasp technical concepts and
follow documentation standards and best practices. Organizing and prioritizing tasks and have exceptional
analytical skills.
-
Having the ability to communicate with development,
QA, UXD, an product management to gather
information for a writing assignment.U62",2024
563,Outlook Group,Media / Entertainment,English / Economics / Journalism,BA / BAJ / MA,School of Humanities,• Product Learning • Business Strategy Formulation • Business Analytics • Market Research,Remote,UG / PG,23-Nov-23,November,Internship,"Students will be provided with graded Certificates, Medals, and Trophies based on their performance.
Top performers from the final year can be shortlisted as a part of our Talent Pool while those from Pre-final year can be shortlisted for Summer Internship 2024 based on there performance displayed in this Live Project.
On completion of the LiveProject, students will be provided with Live Project Based on your enthusiasm, participation, discipline, and performance you shall be given a Completion Certificate/Appreciation Certificate. 
Model: This unique Internship model from Outlook Group is based on pay for performance for motivated and deserving students.  Students will be earning up to Rs 10000 based on their performance which will be directly recorded in our panel.
We are sure that the projectwill add value to your CV. It gives me great pleasure to introduce to students an opportunity to get conversant with new-age business which we believe will grow to become the biggest marketing & sales channel across industries. Even small & medium-sized size businesses have transformed themselves by doing business on the web & names like Flipkart, Snapdeal, Amazon, fashion & you, etc. are household names today. Allow me to introduce Knowledge Jockey, a revolutionary Online Marketing and sales initiative by Outlook Group Magazines, where students Learn and earn at the same time. Once students sign up for Knowledge Jockey they become part of the corporate world & start learning & understanding the finer nuances of how business is undertaken on the internet, telemarketing, and web portals. It will not only give the right new age exposure but also prove to be an amazing Internship.",2024
564,Paperpedia,Research and Consulting,English / Economics / Journalism,MA,School of Humanities,Academic Writer,Kolkatta,PG,20-Sep-23,September,Fulltime,"R or Stata knowledge is mandatory Academic writing is conducting secondary research and compiling them in research papers for graduation/post-graduation/P.H.D levels. We help our clients with general assessments, dissertations, assignments, and all kinds of study guides. As an Academic Writer for Paperpedia, your role is to help the clients with various assignments. To be successful in this role, you must have a stronghold on your subject knowledge and a passion for writing",2024
565,PlanetSpark,Ed- tech,English / Economics / Journalism,BA / MA,CMS Lalbagh / Humanities,Counsellor,Gurgoan,UG / PG,13-Feb-24,February,Fulltime,"- The Business Development Counselor interacts with parents or adult learners after they have taken a demo class and have experienced the product. Since these are high intent nurtured leads, there is no cold-calling required.

The role involves achieving weekly revenue targets by:

Inviting parents or the adult learner to a video counselling session

Conducting a detailed video counselling session with the decision-makers and taking them closer to their decision to purchase

Looking at the entire sales lifecycle, starting from engaging with parents till final conversion i.e. enrolment in the program

Looking forward to students with excellent English communication skills and should be enthusiastic about the inside sales profile.",2024
566,PNB Housing Finance,BFSI/NBFC,Economics,MA ,School of Humanities,Management Trainees,PAN INDIA,PG,27-Nov-23,November,Fulltime,"- Oversee the under writing of the loans in the Hub region.
Evolve underwriting norms customized to the local market needs and update the U/W bulletins.
Work closely with the S & D team & support on offering innovative product offerings.
Liaison with the Underwriting Head at the HO and creates templates.
Review the underwriting process at Hub level.
Decision on IHLs cases based on PNB Housing policies, processes and merits of the case.
Approve projects in the hub region.
Forward request beyond the statutory limit to the HO.
Work closely with the CGM risk on builder financing approval related issues.
Manage external agents involved in the verification process.
Co-ordinate with the recoveries team and generate business insights.
Responsible for technical evaluation of properties in the hub region.
Formulate technical evaluation processes and policies in the hub region.
Manage the technical evaluation process across the organization.
Manage the legal evaluation process in the Hub region.
Responsible for fraud management and risk mitigation activities
",2024
567,Pwc SDC,IT / ITES,Economics / Journalism / Psychology,BA,School of Humanities,Managed services ,Bengaluru / Hyderabad,UG,26-Feb-24,February,Fulltime,"Strong written and oral communication skills
Computer and internet literate in an MS Office environment
Ability to establish and maintain effective working relationshipsContributes to team success by establishing positive working environment; Understands team objectives and cooperates and collaborates with others to achieve them
Focus on value creation and enhancement through process improvement and issues based problem solving
Inventory management: conducts accurate research in an organized manner, questions basic inconsistencies in information reviewed, and raises to appropriate level
Demonstrates an awareness of workloads; offers to help team members and/or team management; takes on additional tasks when appropriate
Develops self and others through coaching The primary purpose of this position is to work accounts to full resolution i.e., through payment, adjustment, identification of patient responsibility, and/or client-specified point of return. The Patient Accounting Specialist resolves accounts and/or performs a secondary review of specific account actions to validate accuracy, completeness and appropriateness of actions taken to resolve accounts in adherence to client, organization, regulatory policies and procedures. This position takes direction from the Team Lead and supports quality account resolution.
Responsibilities:
Attains thorough understanding of the hospital revenue cycle with specialization in hospital billing, follow-up, and the account resolution process to include, but not limited to: claims submission, acceptance, and adjudication, transaction reviews, adjustment posting, identification of patient responsibility, etc.
Utilizes and applies knowledge to resolve aged accounts receivable by working various account types including, but not limited to: hospital and/or professional claims, governmental and/or non-governmental claims, denied claims, high priority accounts, etc.
Leverages available resources and systems (both internal and external) to analyze patient accounting information and take appropriate action for payment resolution; documents all activity in accordance with organization and client policies
Remains open-minded with change: maintains performance during period(s) of change and understands changes in tasks and/or environment as well as the basis for change
Possesses ability to professionally communicate (in all forms) with payer resources such as: website, e-mail, telephone, customer service departments, etc.
Possesses a cooperative and positive attitude toward clients, management and co-workers by responding politely and professionally and being a valued team player",2024
568,Pwc SDC,IT / ITES,English / Economics / Journalism,BA / BAJ,School of Humanities,Managed services ,Bengaluru / Hyderabad,UG,26-Feb-24,February,Fulltime,"Strong written and oral communication skills
Computer and internet literate in an MS Office environment
Ability to establish and maintain effective working relationshipsContributes to team success by establishing positive working environment; Understands team objectives and cooperates and collaborates with others to achieve them
Focus on value creation and enhancement through process improvement and issues based problem solving
Inventory management: conducts accurate research in an organized manner, questions basic inconsistencies in information reviewed, and raises to appropriate level
Demonstrates an awareness of workloads; offers to help team members and/or team management; takes on additional tasks when appropriate
Develops self and others through coaching The primary purpose of this position is to work accounts to full resolution i.e., through payment, adjustment, identification of patient responsibility, and/or client-specified point of return. The Patient Accounting Specialist resolves accounts and/or performs a secondary review of specific account actions to validate accuracy, completeness and appropriateness of actions taken to resolve accounts in adherence to client, organization, regulatory policies and procedures. This position takes direction from the Team Lead and supports quality account resolution.
Responsibilities:
Attains thorough understanding of the hospital revenue cycle with specialization in hospital billing, follow-up, and the account resolution process to include, but not limited to: claims submission, acceptance, and adjudication, transaction reviews, adjustment posting, identification of patient responsibility, etc.
Utilizes and applies knowledge to resolve aged accounts receivable by working various account types including, but not limited to: hospital and/or professional claims, governmental and/or non-governmental claims, denied claims, high priority accounts, etc.
Leverages available resources and systems (both internal and external) to analyze patient accounting information and take appropriate action for payment resolution; documents all activity in accordance with organization and client policies
Remains open-minded with change: maintains performance during period(s) of change and understands changes in tasks and/or environment as well as the basis for change
Possesses ability to professionally communicate (in all forms) with payer resources such as: website, e-mail, telephone, customer service departments, etc.
Possesses a cooperative and positive attitude toward clients, management and co-workers by responding politely and professionally and being a valued team player",2024
569,Pwc SDC,IT / ITES,Economics / Journalism / Psychology,BA / BAJ,School of Humanities,Managed services virtual Business office Patient Accounting specialist,Bengaluru / Hyderabad,UG,26-Feb-24,February,Fulltime,"Strong written and oral communication skills
Computer and internet literate in an MS Office environment
Ability to establish and maintain effective working relationshipsContributes to team success by establishing positive working environment; Understands team objectives and cooperates and collaborates with others to achieve them
Focus on value creation and enhancement through process improvement and issues based problem solving
Inventory management: conducts accurate research in an organized manner, questions basic inconsistencies in information reviewed, and raises to appropriate level
Demonstrates an awareness of workloads; offers to help team members and/or team management; takes on additional tasks when appropriate
Develops self and others through coaching The primary purpose of this position is to work accounts to full resolution i.e., through payment, adjustment, identification of patient responsibility, and/or client-specified point of return. The Patient Accounting Specialist resolves accounts and/or performs a secondary review of specific account actions to validate accuracy, completeness and appropriateness of actions taken to resolve accounts in adherence to client, organization, regulatory policies and procedures. This position takes direction from the Team Lead and supports quality account resolution.
Responsibilities:
Attains thorough understanding of the hospital revenue cycle with specialization in hospital billing, follow-up, and the account resolution process to include, but not limited to: claims submission, acceptance, and adjudication, transaction reviews, adjustment posting, identification of patient responsibility, etc.
Utilizes and applies knowledge to resolve aged accounts receivable by working various account types including, but not limited to: hospital and/or professional claims, governmental and/or non-governmental claims, denied claims, high priority accounts, etc.
Leverages available resources and systems (both internal and external) to analyze patient accounting information and take appropriate action for payment resolution; documents all activity in accordance with organization and client policies
Remains open-minded with change: maintains performance during period(s) of change and understands changes in tasks and/or environment as well as the basis for change
Possesses ability to professionally communicate (in all forms) with payer resources such as: website, e-mail, telephone, customer service departments, etc.
Possesses a cooperative and positive attitude toward clients, management and co-workers by responding politely and professionally and being a valued team player",2024
570,Pwc SDC,IT / ITES,English,MA,School of Humanities,Associate 1,Hyderabad,PG,8-Mar-24,March,Fulltime,"● Experience in
writing/editing/proofr
eading
● Expertise with
Microsoft Office
● Knowledge in Google
Suite
● Good verbal and
written communication
skills (Good
interpersonal skills and
ability to build rapport)
● Analytical skills
 Content & Communication
Organizing, categorizing and publishing content and information using specific tools and channels,
for use by different groups and individuals within the organization. Reviewing text-based content and
making judgements based on policy guidance.
Removing client sensitive information from PwC internal documents and client deliverables to
comply with legal requirements, mitigate risk and allow the re-use of content knowledge assets
within the firm.
Performing secondary/desk research in PwC internal as well as external sources to help develop
content for marketing material, internal communication campaigns, internal reports and client
proposals, with limited opportunity to write/create original content
Understand the process flow related to work requests, and the optimal and required manner in
which to document results of work performed.
Participate in a wide range of projects and collaborate across multiple work streams; consistently
demonstrating creative and analytical thinking, individual initiative and timely completion of
assigned work.
Consistently demonstrate teamwork dynamics by working as a team member, building solid
relationships and proactively seeking guidance, clarification and feedback.
Serve as participant on communications with numerous engagement teams",2024
571,PyjamaHR,IT / ITES,Any Specialization,BA / MA,School of Humanities,Intern Customer Success Executive,Bengaluru,UG / PG,26-Dec-23,December,Fulltime,"Must have excellent verbal and written communication skills.
Must be fluent in Hindi and English. 
Logical reasoning and thinking skills.
Preferably with working experience in a start-up or with SaaS products.
Technical curiosity or experience, willingness to learn new things
Quick learner, adaptable to changing business needs
Proven ability to educate executive decision-makers, building and maintaining relationships with them. Own overall relationships with new and old customers, which includes giving training to new customers on the product, managing on-boarding, smooth transition, increasing adoption, ensuring retention, and high levels of customer satisfaction.
Maintain and develop customer success strategies and best practices.
Communicate effectively with both internal and external senior-level management to understand customer needs and complaints in detail, maximize retention and growth, and communicate learnings.
Maintain existing customer success metrics and data as directed.
Provide critical insights to the product team as a means to improve our developing platform.
Contribute to initiatives outside of customer conversations that better the customer experience, both low-touch and high-touch.
Effectively maintaining client relationships with timely follow-ups, and collecting regular feedback.",2024
572,"Qube Cinema, Inc.",Media / Entertainment,English / Economics / Journalism,BA / MA,School of Humanities,Subtitles Writer,Bengaluru,UG / PG,31-Jan-24,January,Fulltime,"- Collaborating closely with content producers to facilitate timeline delivery of the final subtitles
Transcribing and timing subtitles for movies/web series accurately
Excellent writing and editing skills to produce high-quality subtitles
Strong eye for detail and ability to check their work for errors and inconsistencies.
Adhering to specific formatting guidelines required for various platforms",2024
573,Robert Bosch,Manufacturing,Economics / English / Journalism,MA,School of Humanities,Management Apprentice,Bengaluru,PG,5-Oct-23,October,Fulltime,- -,2024
